timestamp_us,positions,velocities,efforts,motorVelocities,positionCommands,velocityCommands,effortCommands,pwmCommands
1580424332167192,-0.0274273    1.39969,0.0121958   -1.5038,0.0509021 -0.420145,      0 -2105.11,nan nan,nan nan,nan  -1,-0 -0.801715 
1580424332168226,-0.0274631    1.39831,-0.0070274   -1.46173,0.0560303 -0.443952,      0 -2105.11,nan nan,nan nan,nan  -1,-0 -0.801715 
1580424332169207,-0.0274165    1.39693,0.00980942   -1.42547,0.0513642 -0.459073,      0 -2105.11,nan nan,nan nan,nan  -1,-0 -0.801715 
1580424332170228,-0.0273863    1.39556,0.019024 -1.40008,0.051739 -0.450429,      0 -2105.11,nan nan,nan nan,nan  -1,-0 -0.801715 
1580424332171187,-0.0274138    1.39424,0.00342507   -1.36066,0.0552711 -0.499042,      0 -2104.07,nan nan,nan nan,nan  -1,-0 -0.801715 
1580424332172209,-0.027437    1.3929,-0.00845784    -1.34713,0.0578152 -0.502375,      0 -2104.07,nan nan,nan nan,nan  -1,-0 -0.801715 
1580424332173195,-0.0274542    1.39145,-0.0142506   -1.37991,0.0593923 -0.487795,      0 -2102.96,nan nan,nan nan,nan  -1,-0 -0.801715 
1580424332174224,-0.0274647    1.39007,-0.0145942   -1.38139,0.0670116 -0.503666,      0 -2102.96,nan nan,nan nan,nan  -1,-0 -0.801715 
1580424332175209,-0.0274945    1.38867,-0.0209892   -1.38913,0.0631807 -0.483734,      0 -2101.37,nan nan,nan nan,nan  -1,-0 -0.801715 
1580424332176195,-0.0275115    1.38719,-0.020703  -1.42581,0.063402 -0.463468,      0 -2101.37,nan nan,nan nan,nan  -1,-0 -0.801715 
1580424332177237,-0.0275196    1.38585,-0.0163405   -1.40173,0.0596745 -0.504353,      0 -2101.37,nan nan,nan nan,nan  -1,-0 -0.802787 
1580424332178217,-0.027474   1.38445,0.00762558   -1.39785,0.0535921 -0.508769,      0 -2102.96,nan nan,nan nan,nan  -1,-0 -0.801715 
1580424332179213,-0.0274874    1.38295,0.00364403   -1.43501,0.056298   -0.502,      0 -2104.07,nan nan,nan nan,nan  -1,-0 -0.801715 
1580424332180241,-0.027473   1.38157,0.00846508   -1.41918,0.0500106 -0.538053,      0 -2104.07,nan nan,nan nan,nan  -1,-0 -0.801715 
1580424332181217,-0.0274635    1.38011,0.00984307   -1.43532,0.0530207 -0.528951,      0 -2104.07,nan nan,nan nan,nan  -1,-0 -0.801715 
1580424332182847,-0.0274092    1.37729,0.0271958  -1.41708,0.0486594  -0.53068,      0 -2104.07,nan nan,nan nan,nan  -1,-0 -0.800643 
1580424332183231,-0.0274462    1.37729,0.00589696   -1.41708,0.0545414  -0.53068,      0 -2104.07,nan nan,nan nan,nan  -1,-0 -0.800643 
1580424332184194,-0.0274027    1.37589,0.0177411   -1.4043,0.0572591  -0.54953,      0 -2102.49,nan nan,nan nan,nan  -1,-0 -0.800643 
1580424332185196,-0.0274476    1.37437,-0.004867  -1.44385,0.0572919 -0.512331,      0 -2102.49,nan nan,nan nan,nan  -1,-0 -0.800643 
1580424332186208,-0.0274814    1.37289,-0.0189883   -1.46491,0.0571556 -0.516975,      0 -2102.49,nan nan,nan nan,nan  -1,-0 -0.800643 
